date,Dire Straits,Eric Clapton,Mazzy Star,Neil Young,Oasis,Olivia Ong,Buster Keaton,Luis Bunuel,The Beatles,Fritz Lang,王家卫,Wes Anderson,Agatha Christie,The Stone Roses,Satoshi Kon,杨德昌,Billy Wilder,Woody Allen,Quentin Tarantino,Akira Kurosawa,Francois Truffaut,Jean-Luc Godard,Aki Kaurismaki,Teenage Fanclub,李洪绸,落日飞车,Cigarettes After Sex,Summer Salt,Douglas Adams,Italo Calvino
2022-02-26,1,0,0,0,3,0,5,6,0,3,35,61,40,0,30,29,14,0,53,28,9,21,12,0,1,0,0,0,1,8
2022-02-27,0,0,0,0,0,0,7,12,0,5,39,58,40,0,28,30,15,0,41,30,10,22,12,0,1,0,0,0,0,13
2022-02-28,0,1,0,0,0,0,7,3,0,1,37,51,33,0,19,29,18,106,40,29,17,18,9,0,2,0,0,0,1,13
2022-03-01,0,0,0,0,0,0,11,10,1,4,25,37,27,0,24,35,17,0,36,24,7,29,19,0,0,0,2,0,0,11
2022-03-02,0,0,0,0,0,0,6,7,0,3,23,39,40,0,20,29,12,120,30,36,10,15,6,0,3,0,0,0,0,14
2022-03-03,0,0,0,0,0,0,11,7,0,5,25,38,31,2,17,25,17,0,36,32,10,21,38,0,3,0,0,0,2,12
2022-03-04,0,0,0,3,1,1,15,5,1,4,28,39,26,0,18,28,20,105,32,25,11,13,8,0,2,0,0,0,1,16
2022-03-05,0,0,0,0,1,0,27,12,0,5,35,27,31,0,25,34,11,0,47,34,13,16,11,0,1,0,0,0,2,13
2022-03-06,0,0,0,0,1,0,18,11,0,4,46,42,35,0,16,29,13,0,56,26,15,24,13,0,1,0,0,0,0,22
2022-03-07,0,0,0,0,0,0,11,18,1,6,24,41,31,0,24,32,16,84,24,16,23,27,7,0,0,0,0,0,2,10
2022-03-08,0,0,0,0,0,0,11,6,1,3,35,28,24,0,22,36,9,72,38,28,18,27,12,0,1,0,0,0,1,14
2022-03-09,0,0,0,0,0,0,8,12,1,2,27,33,23,0,20,26,16,83,28,25,11,22,4,0,1,0,0,0,1,19
2022-03-10,0,0,0,0,1,0,8,8,1,2,22,34,25,0,18,37,8,68,38,34,12,25,5,0,4,0,0,2,1,13
2022-03-11,0,0,0,0,0,0,6,7,1,2,32,23,23,0,23,24,17,62,39,32,8,20,9,0,4,0,0,0,0,8
2022-03-12,0,1,0,1,0,0,15,9,0,6,37,47,44,0,28,30,9,79,49,31,14,21,14,0,2,0,1,0,1,10
2022-03-13,0,0,0,0,0,0,7,14,1,3,40,63,32,0,31,33,14,86,50,27,16,34,9,0,3,0,0,0,0,10
2022-03-14,1,0,0,0,0,0,9,12,0,5,28,32,14,0,21,32,15,66,32,29,10,16,6,0,1,0,0,0,1,19
2022-03-15,0,1,0,0,0,0,10,7,0,5,30,23,25,0,21,35,14,53,52,28,10,26,7,0,0,0,0,0,3,12
2022-03-16,0,0,0,0,0,0,10,14,1,8,33,32,22,0,18,28,9,64,33,36,10,24,12,0,2,0,0,0,2,14
2022-03-17,0,0,0,0,0,0,7,19,2,7,41,38,25,0,24,34,13,56,45,37,8,28,7,0,2,0,0,0,1,8
2022-03-18,0,0,0,0,0,0,7,12,2,7,48,53,28,0,33,32,11,57,55,29,23,28,8,0,1,0,1,0,2,20
2022-03-19,0,1,0,0,0,0,6,19,1,7,53,43,27,0,37,48,16,63,52,37,16,24,11,0,2,0,1,0,0,16
2022-03-20,1,1,0,0,0,0,11,15,3,4,43,45,27,0,31,55,16,86,55,37,17,24,7,0,3,0,0,0,3,19
2022-03-21,0,0,0,0,0,0,8,16,1,2,36,39,13,0,30,38,19,46,60,25,19,24,10,0,0,0,0,0,2,15
2022-03-22,0,0,0,0,0,0,9,19,1,6,35,50,24,0,32,40,12,55,44,20,13,34,11,0,2,0,0,0,2,19
2022-03-23,0,0,1,0,1,0,11,14,0,4,40,35,18,0,29,33,19,48,32,38,16,28,14,0,2,0,0,0,0,13
2022-03-24,0,0,0,0,0,0,14,13,3,1,44,44,20,2,32,28,18,43,43,27,16,27,13,0,4,0,0,0,0,11
