date,哈罗德·劳埃德,查理·卓别林,雅克·塔蒂,巴斯特·基顿,路易斯·布努埃尔,弗里茨·朗,王家卫,韦斯·安德森,阿加莎·克里斯蒂,今敏,杨德昌,比利·怀尔德,伍迪·艾伦,昆汀·塔伦蒂诺,黑泽明,弗朗索瓦·特吕弗,让-吕克·戈达尔,阿基·考里斯马基,李洪绸
2022-06-21,0,0,0,4,9,5,31,35,16,33,16,10,20,33,25,11,14,6,5
2022-06-22,0,0,0,2,8,2,43,19,13,35,23,16,25,35,22,7,8,6,6
2022-06-23,0,0,0,5,5,5,27,17,11,29,16,9,24,35,22,5,8,7,0
2022-06-24,0,0,0,5,5,0,35,18,13,24,20,9,21,24,29,10,14,7,6
2022-06-25,0,0,0,3,5,0,35,31,7,34,23,13,19,35,35,9,17,6,6
2022-06-26,0,0,0,6,8,2,32,24,18,35,33,10,28,34,48,11,21,3,3
2022-06-27,0,0,0,5,11,4,35,10,14,32,22,13,25,31,34,10,15,9,0
2022-06-28,0,0,0,4,7,5,32,22,8,35,35,10,18,32,24,2,18,5,8
2022-06-29,0,0,0,3,3,3,32,31,12,28,0,8,35,24,18,9,11,10,4
2022-06-30,0,0,0,3,6,5,35,11,11,23,0,8,27,27,25,8,15,2,4
2022-07-01,0,0,0,5,13,1,32,21,5,31,0,15,23,35,25,10,10,3,1
2022-07-02,0,0,0,8,13,3,35,28,20,29,0,12,35,35,31,7,16,7,7
2022-07-03,0,0,0,7,7,1,34,22,14,35,0,12,25,33,29,8,21,5,1
2022-07-04,0,0,0,2,11,0,32,20,10,28,62,9,17,28,22,14,9,5,5
2022-07-05,0,0,0,12,5,4,33,0,15,19,50,11,26,35,21,6,16,8,3
2022-07-06,0,0,0,8,3,2,27,35,5,30,47,12,35,28,28,18,21,2,3
2022-07-07,0,0,0,8,8,2,22,24,20,18,35,13,34,35,20,12,14,10,3
2022-07-08,0,0,0,6,11,1,34,25,9,17,26,9,33,32,21,8,14,6,3
2022-07-09,0,0,0,9,11,2,30,31,13,35,33,16,35,46,33,6,12,5,7
